Procurado,Comparacoes_ABB,Comparacoes_Lista
91,10,47
20,8,213
57,7,95
3,7,186
77,13,174
8,5,12
35,9,319
81,14,3
70,10,246
27,12,34
39,4,57
49,11,103
35,9,186
23,15,271
96,4,88
11,7,23
70,10,243
55,13,168
44,8,46
22,12,53
12,2,116
26,14,82
90,13,1
12,2,48
72,13,56
40,3,3
2,3,38
57,7,45
54,10,27
0,5,239
16,4,11
29,3,164
64,6,75
7,8,263
97,5,73
97,5,158
25,13,17
47,9,36
31,4,210
18,5,333
20,8,71
43,9,283
76,11,170
73,14,26
39,4,29
93,9,4
89,15,6
58,13,150
55,13,258
52,12,21
71,9,12
93,9,115
78,12,41
68,13,11
47,9,328
97,5,10
27,12,26
87,14,9
74,12,157
6,6,113
86,8,57
42,6,24
27,12,48
97,5,18
89,15,124
56,15,63
1,4,67
94,12,18
96,4,28
98,7,9
51,14,127
62,11,44
7,8,177
55,13,49
70,10,78
85,13,74
93,9,118
89,15,289
57,7,198
50,10,228
49,11,24
28,7,89
62,11,360
73,14,8
1,4,82
65,10,401
92,11,68
61,10,341
53,9,160
59,9,107
12,2,89
55,13,43
0,5,2
34,8,42
29,3,299
30,1,5
40,3,185
24,11,192
32,8,141
12,2,103
36,7,75
4,10,39
36,7,336
16,4,215
52,12,59
72,13,15
97,5,158
69,11,44
1,4,274
71,9,8
99,6,117
82,17,7
5,12,70
7,8,53
61,10,22
35,9,136
68,13,298
55,13,618
75,13,30
11,7,45
67,7,10
88,11,131
24,11,31
87,14,45
92,11,113
80,13,106
74,12,253
47,9,140
95,10,25
40,3,220
84,11,74
35,9,46
9,7,101
63,8,17
42,6,58
97,5,56
10,6,109
15,6,110
95,10,148
4,10,71
52,12,58
91,10,46
24,11,239
95,10,104
89,15,68
21,9,61
39,4,439
10,6,10
20,8,19
1,4,38
54,10,40
40,3,74
95,10,281
78,12,42
9,7,76
47,9,8
47,9,85
44,8,35
30,1,94
81,14,163
2,3,141
6,6,2
43,9,238
16,4,85
29,3,57
34,8,46
96,4,64
36,7,2
42,6,52
74,12,39
63,8,246
2,3,4
89,15,147
57,7,100
56,15,559
48,8,5
32,8,16
10,6,40
1,4,116
35,9,260
47,9,166
19,6,217
98,7,249
56,15,119
32,8,178
41,8,12
1,4,98
15,6,339
0,5,16
14,10,86
72,13,68
48,8,24
8,5,87
32,8,22
58,13,113
3,7,69
70,10,134
29,3,9
44,8,96
18,5,30
